               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046023,             0.10942,          0.00067859,             0.79888,             0.80903,             0.84306,             0.31628,            0.043789,            0.036131,          0.00050256,           0.0082675,           0.0082675,           0.0082675
                  37,            0.048342,             0.10774,          0.00071558,             0.88005,              0.9337,             0.91289,             0.36228,            0.040903,            0.033406,          0.00047896,            0.008218,            0.008218,            0.008218
                  38,            0.048975,             0.10654,          0.00070615,             0.86333,             0.92876,               0.924,             0.36501,            0.041671,            0.033402,          0.00050666,           0.0081685,           0.0081685,           0.0081685
                  39,             0.04965,             0.11542,          0.00073666,             0.83716,             0.94168,             0.87877,             0.33936,             0.03974,            0.033491,          0.00051524,            0.008119,            0.008119,            0.008119
                  40,            0.046463,             0.11015,          0.00074021,             0.68498,             0.83108,             0.78467,             0.28927,            0.046101,             0.03375,          0.00049343,           0.0080695,           0.0080695,           0.0080695
                  41,            0.048175,             0.10436,          0.00070516,             0.91358,             0.94446,             0.93339,             0.38053,            0.041831,            0.033667,          0.00051581,             0.00802,             0.00802,             0.00802
                  42,            0.048811,             0.10821,          0.00071096,             0.91611,             0.94743,             0.92988,             0.38221,            0.042178,            0.033694,          0.00049771,           0.0079705,           0.0079705,           0.0079705
                  43,            0.048224,             0.10668,          0.00078342,             0.90111,             0.92408,              0.9292,             0.36771,            0.041923,            0.035057,          0.00050372,            0.007921,            0.007921,            0.007921
                  44,            0.046834,             0.11306,          0.00074377,             0.92019,              0.9345,             0.93979,             0.35644,            0.043402,            0.033087,          0.00048796,           0.0078715,           0.0078715,           0.0078715
                  45,            0.045208,             0.10601,          0.00069352,              0.8897,             0.94111,             0.92771,             0.35478,            0.041407,            0.033784,          0.00044198,            0.007822,            0.007822,            0.007822
                  46,            0.046752,             0.10724,           0.0007644,             0.94031,             0.96839,             0.94499,             0.37595,            0.039586,            0.033114,           0.0004614,           0.0077725,           0.0077725,           0.0077725
                  47,            0.046452,             0.10883,          0.00068261,             0.91796,             0.92732,             0.93767,             0.38798,            0.041715,            0.032602,          0.00047888,            0.007723,            0.007723,            0.007723
                  48,            0.045555,             0.10517,          0.00065446,             0.94118,             0.96063,             0.95121,             0.38622,            0.041273,            0.032317,          0.00042643,           0.0076735,           0.0076735,           0.0076735
                  49,            0.044662,              0.1029,          0.00062608,             0.78986,             0.92428,             0.86948,             0.32368,            0.043636,            0.033024,          0.00040837,            0.007624,            0.007624,            0.007624
                  50,             0.04551,             0.10653,          0.00064214,             0.90495,             0.92847,             0.93065,             0.34033,            0.043346,            0.032463,          0.00042899,           0.0075745,           0.0075745,           0.0075745
                  51,            0.046751,             0.10796,          0.00064874,             0.94174,              0.9613,             0.94646,             0.36466,            0.039392,            0.032483,          0.00044023,            0.007525,            0.007525,            0.007525
                  52,            0.046253,             0.11055,          0.00066479,             0.88148,             0.91095,             0.89291,             0.31824,            0.042955,            0.033044,          0.00040629,           0.0074755,           0.0074755,           0.0074755
                  53,            0.044319,             0.10598,          0.00060269,             0.95519,               0.973,             0.96105,              0.3942,            0.038457,            0.032257,          0.00040343,            0.007426,            0.007426,            0.007426
                  54,            0.043963,             0.10267,          0.00060232,             0.95151,             0.96404,             0.95391,             0.40483,             0.03827,            0.032416,          0.00043153,           0.0073765,           0.0073765,           0.0073765
                  55,            0.045744,             0.10656,          0.00062358,             0.95841,             0.97316,             0.96291,             0.38403,            0.037618,            0.032766,          0.00042507,            0.007327,            0.007327,            0.007327
                  56,            0.042986,             0.10181,          0.00060784,             0.95738,             0.96323,             0.96375,             0.39708,            0.038271,            0.032677,          0.00038932,           0.0072775,           0.0072775,           0.0072775
                  57,            0.043233,             0.10519,          0.00056694,             0.87394,             0.95346,             0.91528,             0.34702,             0.04166,            0.032296,          0.00033615,            0.007228,            0.007228,            0.007228
                  58,            0.045887,             0.10624,          0.00053115,             0.92462,             0.95498,             0.93952,             0.34974,            0.041028,            0.031963,          0.00036684,           0.0071785,           0.0071785,           0.0071785
                  59,            0.045631,             0.11148,          0.00058946,              0.9251,             0.94383,             0.91353,             0.32634,            0.040488,            0.032575,          0.00039987,            0.007129,            0.007129,            0.007129
                  60,            0.042998,             0.10117,          0.00058046,             0.93213,             0.94743,             0.95113,             0.37261,            0.039821,            0.031575,           0.0003704,           0.0070795,           0.0070795,           0.0070795
